area_code,name,kind
ORSZEM-BACS-KISKUN,Őrszem – Bács-Kiskun,CUSTOM_ORSZEM
ORSZEM-BARANYA,Őrszem – Baranya,CUSTOM_ORSZEM
ORSZEM-BEKES,Őrszem – Békés,CUSTOM_ORSZEM
ORSZEM-BORSOD-ABAUJ-ZEMPLEN,Őrszem – Borsod-Abaúj-Zemplén,CUSTOM_ORSZEM
ORSZEM-BUDAPEST,Őrszem – Budapest,CUSTOM_ORSZEM
ORSZEM-CSONGRAD-CSANAD,Őrszem – Csongrád-Csanád,CUSTOM_ORSZEM
ORSZEM-FEJER,Őrszem – Fejér,CUSTOM_ORSZEM
ORSZEM-GYOR-MOSON-SOPRON,Őrszem – Győr-Moson-Sopron,CUSTOM_ORSZEM
ORSZEM-HAJDU-BIHAR,Őrszem – Hajdú-Bihar,CUSTOM_ORSZEM
ORSZEM-HEVES,Őrszem – Heves,CUSTOM_ORSZEM
ORSZEM-JASZ-NAGYKUN-SZOLNOK,Őrszem – Jász-Nagykun-Szolnok,CUSTOM_ORSZEM
ORSZEM-KOMAROM-ESZTERGOM,Őrszem – Komárom-Esztergom,CUSTOM_ORSZEM
ORSZEM-NOGRAD,Őrszem – Nógrád,CUSTOM_ORSZEM
ORSZEM-PEST,Őrszem – Pest,CUSTOM_ORSZEM
ORSZEM-SOMOGY,Őrszem – Somogy,CUSTOM_ORSZEM
ORSZEM-SZABOLCS-SZATMAR-BEREG,Őrszem – Szabolcs-Szatmár-Bereg,CUSTOM_ORSZEM
ORSZEM-TOLNA,Őrszem – Tolna,CUSTOM_ORSZEM
ORSZEM-VAS,Őrszem – Vas,CUSTOM_ORSZEM
ORSZEM-VESZPREM,Őrszem – Veszprém,CUSTOM_ORSZEM
ORSZEM-ZALA,Őrszem – Zala,CUSTOM_ORSZEM
