ksh_code,settlement_name,county_name,area_code,basis
01508,Ipolyszög,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
01526,Somoskőújfalu,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
02015,Ráckeresztúr,Fejér,ORSZEM-FEJER,KSH_COUNTY
02024,Martonyi,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
02033,Kakasd,Tolna,ORSZEM-TOLNA,KSH_COUNTY
02042,Narda,Vas,ORSZEM-VAS,KSH_COUNTY
02051,Sávoly,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
02060,Gönyű,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
02079,Dunaremete,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
02088,Mánd,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
02097,Gutorfölde,Zala,ORSZEM-ZALA,KSH_COUNTY
02103,Maróc,Zala,ORSZEM-ZALA,KSH_COUNTY
02112,Budapest 17. ker.,főváros,ORSZEM-BUDAPEST,KSH_COUNTY
02121,Csanádalberti,Csongrád-Csanád,ORSZEM-CSONGRAD-CSANAD,KSH_COUNTY
02130,Mihályfa,Zala,ORSZEM-ZALA,KSH_COUNTY
02149,Foktő,Bács-Kiskun,ORSZEM-BACS-KISKUN,KSH_COUNTY
02158,Muhi,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
02167,Komádi,Hajdú-Bihar,ORSZEM-HAJDU-BIHAR,KSH_COUNTY
02185,Csopak,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
02194,Nemesvámos,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
02200,Isztimér,Fejér,ORSZEM-FEJER,KSH_COUNTY
02219,Balatonfűzfő,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
02228,Martonfa,Baranya,ORSZEM-BARANYA,KSH_COUNTY
