line_code,assessment,area_codes
1,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-FEJER|ORSZEM-GYOR-MOSON-SOPRON|ORSZEM-KOMAROM-ESZTERGOM|ORSZEM-PEST
10,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-GYOR-MOSON-SOPRON|ORSZEM-VAS|ORSZEM-VESZPREM
100,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-HAJDU-BIHAR|ORSZEM-JASZ-NAGYKUN-SZOLNOK|ORSZEM-PEST|ORSZEM-SZABOLCS-SZATMAR-BEREG
100c,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BORSOD-ABAUJ-ZEMPLEN|ORSZEM-SZABOLCS-SZATMAR-BEREG
101,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-HAJDU-BIHAR
102,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-HEVES|ORSZEM-JASZ-NAGYKUN-SZOLNOK
103,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-JASZ-NAGYKUN-SZOLNOK
105,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-HAJDU-BIHAR
106,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-HAJDU-BIHAR
108,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-HAJDU-BIHAR|ORSZEM-HEVES|ORSZEM-JASZ-NAGYKUN-SZOLNOK
109,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-HAJDU-BIHAR|ORSZEM-SZABOLCS-SZATMAR-BEREG
11,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-GYOR-MOSON-SOPRON|ORSZEM-VESZPREM
110,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-HAJDU-BIHAR|ORSZEM-SZABOLCS-SZATMAR-BEREG
111,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-NOGRAD|ORSZEM-SZABOLCS-SZATMAR-BEREG
114,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-SZABOLCS-SZATMAR-BEREG
115,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-SZABOLCS-SZATMAR-BEREG
116,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-SZABOLCS-SZATMAR-BEREG
117,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-SZABOLCS-SZATMAR-BEREG
11a,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-VESZPREM
12,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-KOMAROM-ESZTERGOM
120,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BEKES|ORSZEM-JASZ-NAGYKUN-SZOLNOK
120a,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-JASZ-NAGYKUN-SZOLNOK|ORSZEM-PEST
121,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BEKES|ORSZEM-CSONGRAD-CSANAD
125,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BEKES|ORSZEM-CSONGRAD-CSANAD|ORSZEM-JASZ-NAGYKUN-SZOLNOK
128,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BEKES|ORSZEM-HAJDU-BIHAR
13,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-GYOR-MOSON-SOPRON|ORSZEM-KOMAROM-ESZTERGOM
130,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-CSONGRAD-CSANAD|ORSZEM-JASZ-NAGYKUN-SZOLNOK
135,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BEKES|ORSZEM-CSONGRAD-CSANAD
136,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-CSONGRAD-CSANAD
13L,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-VESZPREM
14,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-GYOR-MOSON-SOPRON|ORSZEM-VESZPREM
140,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BACS-KISKUN|ORSZEM-CSONGRAD-CSANAD|ORSZEM-PEST
142,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BACS-KISKUN|ORSZEM-PEST
145,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BACS-KISKUN|ORSZEM-JASZ-NAGYKUN-SZOLNOK
146,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BACS-KISKUN|ORSZEM-JASZ-NAGYKUN-SZOLNOK
147,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BACS-KISKUN|ORSZEM-BEKES|ORSZEM-CSONGRAD-CSANAD
149,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BACS-KISKUN
15,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-GYOR-MOSON-SOPRON|ORSZEM-VAS
150,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BACS-KISKUN|ORSZEM-PEST
151,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BACS-KISKUN
152,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BACS-KISKUN
153,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BACS-KISKUN
153K,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BACS-KISKUN
154,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BACS-KISKUN|ORSZEM-TOLNA
155,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BACS-KISKUN
16,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-GYOR-MOSON-SOPRON|ORSZEM-VAS
18,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-VAS
2,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-KOMAROM-ESZTERGOM|ORSZEM-PEST
20,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-FEJER|ORSZEM-VAS|ORSZEM-VESZPREM
20L,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-VESZPREM
21,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-VAS
