ksh_code,line_code,area_code
01508,75,ORSZEM-NOGRAD
01526,81,ORSZEM-NOGRAD
02051,30,ORSZEM-SOMOGY
02097,23,ORSZEM-ZALA
02185,29,ORSZEM-VESZPREM
02219,29,ORSZEM-VESZPREM
02264,40,ORSZEM-BARANYA
02307,100,ORSZEM-HAJDU-BIHAR
02325,116,ORSZEM-SZABOLCS-SZATMAR-BEREG
02431,15,ORSZEM-VAS
02459,46,ORSZEM-FEJER
02495,15,ORSZEM-GYOR-MOSON-SOPRON
02547,61,ORSZEM-BARANYA
02565,40,ORSZEM-TOLNA
02608,25,ORSZEM-ZALA
02626,130,ORSZEM-JASZ-NAGYKUN-SZOLNOK
02635,1,ORSZEM-GYOR-MOSON-SOPRON
02723,40,ORSZEM-FEJER
02778,78,ORSZEM-NOGRAD
02839,20,ORSZEM-VAS
02848,80,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
02848,90,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
02918,108,ORSZEM-HAJDU-BIHAR
02981,108,ORSZEM-HEVES
03009,15,ORSZEM-VAS
03009,18,ORSZEM-VAS
03009,20,ORSZEM-VAS
03009,21,ORSZEM-VAS
03045,109,ORSZEM-HAJDU-BIHAR
03115,342,ORSZEM-FEJER
03115,42,ORSZEM-FEJER
03133,80,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
03249,78,ORSZEM-NOGRAD
03276,80,ORSZEM-HEVES
03328,78,ORSZEM-NOGRAD
03382,87,ORSZEM-HEVES
03443,100c,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
03443,80,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
03461,120,ORSZEM-BEKES
03461,121,ORSZEM-BEKES
03522,154,ORSZEM-BACS-KISKUN
03559,30,ORSZEM-SOMOGY
03595,98,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
03601,27,ORSZEM-VESZPREM
03674,25,ORSZEM-VAS
03692,120a,ORSZEM-PEST
03887,10,ORSZEM-GYOR-MOSON-SOPRON
03902,98,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
03911,21,ORSZEM-VAS
03948,26,ORSZEM-VESZPREM
04039,14,ORSZEM-GYOR-MOSON-SOPRON
04039,16,ORSZEM-GYOR-MOSON-SOPRON
04039,8,ORSZEM-GYOR-MOSON-SOPRON
04057,80,ORSZEM-PEST
04075,142,ORSZEM-PEST
04084,102,ORSZEM-HEVES
04093,152,ORSZEM-BACS-KISKUN
04118,108,ORSZEM-HAJDU-BIHAR
04154,30,ORSZEM-PEST
04154,31,ORSZEM-PEST
04233,90,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
04260,120,ORSZEM-JASZ-NAGYKUN-SZOLNOK
04260,125,ORSZEM-JASZ-NAGYKUN-SZOLNOK
04358,75,ORSZEM-NOGRAD
04428,1,ORSZEM-KOMAROM-ESZTERGOM
04525,13,ORSZEM-KOMAROM-ESZTERGOM
04561,29,ORSZEM-VESZPREM
04589,8,ORSZEM-GYOR-MOSON-SOPRON
04604,88,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
04604,89,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
04631,20,ORSZEM-VESZPREM
04659,30,ORSZEM-FEJER
04668,10,ORSZEM-VESZPREM
04677,80,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
04738,23,ORSZEM-ZALA
04783,1,ORSZEM-GYOR-MOSON-SOPRON
04853,60,ORSZEM-SOMOGY
04862,42,ORSZEM-TOLNA
04871,78,ORSZEM-NOGRAD
04923,100,ORSZEM-JASZ-NAGYKUN-SZOLNOK
04923,103,ORSZEM-JASZ-NAGYKUN-SZOLNOK
04932,41,ORSZEM-SOMOGY
04950,23,ORSZEM-ZALA
05032,135,ORSZEM-BEKES
05111,147,ORSZEM-CSONGRAD-CSANAD
05120,80,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
05148,29,ORSZEM-VESZPREM
05175,100,ORSZEM-HAJDU-BIHAR
05209,65,ORSZEM-BARANYA
05227,77,ORSZEM-PEST
05236,85,ORSZEM-HEVES
05263,35,ORSZEM-SOMOGY
05281,142,ORSZEM-PEST
05333,90,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
05342,23,ORSZEM-ZALA
05379,121,ORSZEM-CSONGRAD-CSANAD
05430,47,ORSZEM-BARANYA
05449,1,ORSZEM-KOMAROM-ESZTERGOM
05449,3,ORSZEM-KOMAROM-ESZTERGOM
05449,5,ORSZEM-KOMAROM-ESZTERGOM
05582,89,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
05625,29,ORSZEM-VESZPREM
05643,87,ORSZEM-HEVES
05652,14,ORSZEM-VESZPREM
05670,100,ORSZEM-SZABOLCS-SZATMAR-BEREG
05698,77,ORSZEM-PEST
05777,86,ORSZEM-JASZ-NAGYKUN-SZOLNOK
05838,29,ORSZEM-VESZPREM
05874,100,ORSZEM-JASZ-NAGYKUN-SZOLNOK
05874,120,ORSZEM-JASZ-NAGYKUN-SZOLNOK
05892,65,ORSZEM-BARANYA
05926,94,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
05935,80,ORSZEM-HEVES
05944,11,ORSZEM-GYOR-MOSON-SOPRON
05962,121,ORSZEM-CSONGRAD-CSANAD
06008,30,ORSZEM-SOMOGY
06035,142,ORSZEM-PEST
06080,35,ORSZEM-SOMOGY
06114,29,ORSZEM-FEJER
06187,110,ORSZEM-HAJDU-BIHAR
06202,145,ORSZEM-BACS-KISKUN
06202,146,ORSZEM-BACS-KISKUN
06284,125,ORSZEM-CSONGRAD-CSANAD
06345,84,ORSZEM-HEVES
06415,61,ORSZEM-BARANYA
06442,153,ORSZEM-BACS-KISKUN
06442,153K,ORSZEM-BACS-KISKUN
06488,115,ORSZEM-SZABOLCS-SZATMAR-BEREG
06558,42,ORSZEM-TOLNA
06628,78,ORSZEM-NOGRAD
06673,20,ORSZEM-VESZPREM
06673,351,ORSZEM-VESZPREM
06691,92,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
06691,95,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
06743,75,ORSZEM-NOGRAD
06743,76,ORSZEM-NOGRAD
06804,128,ORSZEM-BEKES
06804,135,ORSZEM-BEKES
06859,1,ORSZEM-PEST
06895,15,ORSZEM-GYOR-MOSON-SOPRON
06901,46,ORSZEM-TOLNA
06910,60,ORSZEM-SOMOGY
06947,75,ORSZEM-PEST
07001,43,ORSZEM-FEJER
07056,36,ORSZEM-SOMOGY
07065,20,ORSZEM-VESZPREM
07117,30,ORSZEM-SOMOGY
07126,40,ORSZEM-BARANYA
07144,2,ORSZEM-PEST
07153,65,ORSZEM-BARANYA
07214,15,ORSZEM-VAS
07223,92,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
07269,27,ORSZEM-FEJER
07269,30,ORSZEM-FEJER
07339,29,ORSZEM-VESZPREM
07357,121,ORSZEM-CSONGRAD-CSANAD
07375,30,ORSZEM-SOMOGY
07375,37,ORSZEM-SOMOGY
07384,2,ORSZEM-PEST
07409,81,ORSZEM-NOGRAD
07418,130,ORSZEM-JASZ-NAGYKUN-SZOLNOK
07490,145,ORSZEM-JASZ-NAGYKUN-SZOLNOK
07597,109,ORSZEM-SZABOLCS-SZATMAR-BEREG
07612,151,ORSZEM-BACS-KISKUN
07685,40,ORSZEM-TOLNA
07685,41,ORSZEM-TOLNA
07685,50,ORSZEM-TOLNA
07694,65,ORSZEM-BARANYA
07807,80,ORSZEM-PEST
07852,103,ORSZEM-JASZ-NAGYKUN-SZOLNOK
07904,115,ORSZEM-SZABOLCS-SZATMAR-BEREG
07922,20,ORSZEM-VESZPREM
08013,25,ORSZEM-VAS
08077,94,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
08086,90,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
08101,23,ORSZEM-ZALA
08156,75,ORSZEM-NOGRAD
08244,125,ORSZEM-BEKES
08314,130,ORSZEM-CSONGRAD-CSANAD
08314,135,ORSZEM-CSONGRAD-CSANAD
08332,142,ORSZEM-PEST
08350,155,ORSZEM-BACS-KISKUN
08378,155,ORSZEM-BACS-KISKUN
08396,94,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
08420,116,ORSZEM-SZABOLCS-SZATMAR-BEREG
08518,15,ORSZEM-GYOR-MOSON-SOPRON
08518,300b,ORSZEM-GYOR-MOSON-SOPRON
08518,8,ORSZEM-GYOR-MOSON-SOPRON
08527,84,ORSZEM-HEVES
08545,71,ORSZEM-PEST
08581,30,ORSZEM-FEJER
08590,35,ORSZEM-SOMOGY
08679,153,ORSZEM-BACS-KISKUN
08688,4,ORSZEM-KOMAROM-ESZTERGOM
08712,81,ORSZEM-NOGRAD
08721,11,ORSZEM-GYOR-MOSON-SOPRON
08749,20,ORSZEM-VESZPREM
08758,4,ORSZEM-KOMAROM-ESZTERGOM
08776,100,ORSZEM-SZABOLCS-SZATMAR-BEREG
08864,154,ORSZEM-TOLNA
08864,46,ORSZEM-TOLNA
08864,50,ORSZEM-TOLNA
08864,64,ORSZEM-TOLNA
08891,1,ORSZEM-PEST
08925,42,ORSZEM-FEJER
08952,115,ORSZEM-SZABOLCS-SZATMAR-BEREG
08961,46,ORSZEM-TOLNA
08989,105,ORSZEM-HAJDU-BIHAR
09007,50,ORSZEM-BARANYA
09034,75,ORSZEM-NOGRAD
09052,84,ORSZEM-HEVES
09098,41,ORSZEM-SOMOGY
09113,117,ORSZEM-SZABOLCS-SZATMAR-BEREG
09122,120a,ORSZEM-PEST
09131,80,ORSZEM-PEST
09168,60,ORSZEM-ZALA
09210,130,ORSZEM-CSONGRAD-CSANAD
09247,142,ORSZEM-PEST
09265,100,ORSZEM-SZABOLCS-SZATMAR-BEREG
09344,150,ORSZEM-BACS-KISKUN
09353,111,ORSZEM-SZABOLCS-SZATMAR-BEREG
09469,154,ORSZEM-BACS-KISKUN
09496,92,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
09511,147,ORSZEM-BEKES
09584,150,ORSZEM-PEST
09593,80,ORSZEM-PEST
09627,120,ORSZEM-JASZ-NAGYKUN-SZOLNOK
09627,130,ORSZEM-JASZ-NAGYKUN-SZOLNOK
09645,30,ORSZEM-SOMOGY
09821,100,ORSZEM-PEST
09849,142,ORSZEM-PEST
09894,75,ORSZEM-NOGRAD
09900,42,ORSZEM-FEJER
09919,100,ORSZEM-SZABOLCS-SZATMAR-BEREG
09919,400,ORSZEM-SZABOLCS-SZATMAR-BEREG
09964,84,ORSZEM-HEVES
09973,150,ORSZEM-PEST
10092,29,ORSZEM-VESZPREM
10117,111,ORSZEM-SZABOLCS-SZATMAR-BEREG
10126,114,ORSZEM-SZABOLCS-SZATMAR-BEREG
10135,64,ORSZEM-BARANYA
10162,100,ORSZEM-HAJDU-BIHAR
10162,101,ORSZEM-HAJDU-BIHAR
10296,30,ORSZEM-FEJER
10348,30,ORSZEM-ZALA
10393,100,ORSZEM-HAJDU-BIHAR
10418,372,ORSZEM-HEVES
10418,80,ORSZEM-HEVES
10481,1,ORSZEM-FEJER
10490,2,ORSZEM-KOMAROM-ESZTERGOM
10551,100,ORSZEM-PEST
10588,16,ORSZEM-GYOR-MOSON-SOPRON
10612,94,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
10630,25,ORSZEM-VAS
10667,140,ORSZEM-BACS-KISKUN
10719,154,ORSZEM-BACS-KISKUN
10719,392,ORSZEM-BACS-KISKUN
10728,94,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
10746,65,ORSZEM-BARANYA
10816,150,ORSZEM-PEST
10922,120a,ORSZEM-PEST
11013,80,ORSZEM-HEVES
11022,98,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
11031,40,ORSZEM-TOLNA
11174,37,ORSZEM-SOMOGY
11253,8,ORSZEM-GYOR-MOSON-SOPRON
11262,8,ORSZEM-GYOR-MOSON-SOPRON
11332,92,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
11341,100,ORSZEM-PEST
11341,140,ORSZEM-PEST
11402,47,ORSZEM-BARANYA
11439,20,ORSZEM-VESZPREM
11439,20L,ORSZEM-VESZPREM
11509,41,ORSZEM-SOMOGY
11563,154,ORSZEM-TOLNA
11679,25,ORSZEM-VAS
11697,90,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
11697,98,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
11767,20,ORSZEM-VESZPREM
11776,20,ORSZEM-FEJER
11794,149,ORSZEM-BACS-KISKUN
11873,121,ORSZEM-BEKES
11873,125,ORSZEM-BEKES
11882,1,ORSZEM-GYOR-MOSON-SOPRON
11934,2,ORSZEM-PEST
11943,18,ORSZEM-VAS
11989,120,ORSZEM-BEKES
11998,40,ORSZEM-TOLNA
12007,140,ORSZEM-CSONGRAD-CSANAD
12177,125,ORSZEM-BEKES
12186,100,ORSZEM-SZABOLCS-SZATMAR-BEREG
12210,98,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
12238,26,ORSZEM-VESZPREM
12256,128,ORSZEM-BEKES
12265,135,ORSZEM-CSONGRAD-CSANAD
12274,116,ORSZEM-SZABOLCS-SZATMAR-BEREG
12344,150,ORSZEM-BACS-KISKUN
12441,102,ORSZEM-JASZ-NAGYKUN-SZOLNOK
12469,98,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
12511,75,ORSZEM-NOGRAD
12548,40,ORSZEM-BARANYA
12575,23,ORSZEM-ZALA
12609,25,ORSZEM-ZALA
12672,111,ORSZEM-SZABOLCS-SZATMAR-BEREG
12681,135,ORSZEM-BEKES
12779,121,ORSZEM-CSONGRAD-CSANAD
12788,101,ORSZEM-HAJDU-BIHAR
12803,109,ORSZEM-HAJDU-BIHAR
12876,35,ORSZEM-SOMOGY
12885,80,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
12894,100,ORSZEM-PEST
12919,26,ORSZEM-ZALA
12955,11,ORSZEM-GYOR-MOSON-SOPRON
13019,110,ORSZEM-SZABOLCS-SZATMAR-BEREG
13134,98,ORSZEM-BORSOD-ABAUJ-ZEMPLEN
13152,46,ORSZEM-FEJER
13161,136,ORSZEM-CSONGRAD-CSANAD
