ksh_code,settlement_name,county_name,line_code,line_name,service_area,service_area_id,status,reason
01508,Ipolyszög,Nógrád,75,75. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
01526,Somoskőújfalu,Nógrád,81,81. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
02097,Gutorfölde,Zala,23,23. számú vasútvonal,Szombathely,4c3ae602-3a75-4f0c-bdf7-d6e15bed6d1b,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
02185,Csopak,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
02219,Balatonfűzfő,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
02325,Baktalórántháza,Szabolcs-Szatmár-Bereg,116,116. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
02431,Bük,Vas,15,15. számú vasútvonal,Szombathely,4c3ae602-3a75-4f0c-bdf7-d6e15bed6d1b,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
02547,Sumony,Baranya,61,61. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
03009,Szombathely,Vas,18,18. számú vasútvonal,Szombathely,4c3ae602-3a75-4f0c-bdf7-d6e15bed6d1b,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
03045,Hajdúböszörmény,Hajdú-Bihar,109,109. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
03601,Sóly,Veszprém,27,27. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
04039,Csorna,Győr-Moson-Sopron,14,14. számú vasútvonal,Szombathely,4c3ae602-3a75-4f0c-bdf7-d6e15bed6d1b,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
04358,Nógrád,Nógrád,75,75. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
04525,Kecskéd,Komárom-Esztergom,13,13. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
04561,Ábrahámhegy,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
04604,Hejőkeresztúr,Borsod-Abaúj-Zemplén,89,89. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
05148,Balatonkenese,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
05236,Gyöngyös,Heves,85,85. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
05430,Magyarhertelend,Baranya,47,47. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
05582,Nagycsécs,Borsod-Abaúj-Zemplén,89,89. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
05625,Révfülöp,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
05652,Nemesgörzsöny,Veszprém,14,14. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
05838,Balatonalmádi,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
