ksh_code,name,county_name
01508,Ipolyszög,Nógrád
01526,Somoskőújfalu,Nógrád
02015,Ráckeresztúr,Fejér
02024,Martonyi,Borsod-Abaúj-Zemplén
02033,Kakasd,Tolna
02042,Narda,Vas
02051,Sávoly,Somogy
02060,Gönyű,Győr-Moson-Sopron
02079,Dunaremete,Győr-Moson-Sopron
02088,Mánd,Szabolcs-Szatmár-Bereg
02097,Gutorfölde,Zala
02103,Maróc,Zala
02112,Budapest 17. ker.,főváros
02121,Csanádalberti,Csongrád-Csanád
02130,Mihályfa,Zala
02149,Foktő,Bács-Kiskun
02158,Muhi,Borsod-Abaúj-Zemplén
02167,Komádi,Hajdú-Bihar
02185,Csopak,Veszprém
02194,Nemesvámos,Veszprém
02200,Isztimér,Fejér
02219,Balatonfűzfő,Veszprém
02228,Martonfa,Baranya
02237,Vág,Győr-Moson-Sopron
02246,Vát,Vas
02264,Vásárosdombó,Baranya
02273,Abaújvár,Borsod-Abaúj-Zemplén
02282,Hejőkürt,Borsod-Abaúj-Zemplén
02291,Tiszabábolna,Borsod-Abaúj-Zemplén
02307,Kaba,Hajdú-Bihar
02316,Etyek,Fejér
02325,Baktalórántháza,Szabolcs-Szatmár-Bereg
02343,Kincsesbánya,Fejér
02352,Újkígyós,Békés
02361,Nagybajcs,Győr-Moson-Sopron
02370,Rád,Pest
02389,Bercel,Nógrád
02404,Surd,Zala
02413,Kisbabot,Győr-Moson-Sopron
02422,Hegyesd,Veszprém
02431,Bük,Vas
02440,Szatta,Vas
02459,Vajta,Fejér
02468,Hegymeg,Borsod-Abaúj-Zemplén
02477,Csombárd,Somogy
02486,Zalacséb,Zala
02495,Nagycenk,Győr-Moson-Sopron
02501,Kisunyom,Vas
02510,Kocs,Komárom-Esztergom
02529,Várfölde,Zala
02547,Sumony,Baranya
02556,Mórichida,Győr-Moson-Sopron
02565,Döbrököz,Tolna
02574,Kenéz,Vas
02583,Csesztreg,Zala
02608,Zalaszentiván,Zala
02617,Sopronnémeti,Győr-Moson-Sopron
02626,Martfű,Jász-Nagykun-Szolnok
02635,Öttevény,Győr-Moson-Sopron
02644,Alibánfa,Zala
02653,Nagyharsány,Baranya
02662,Milejszeg,Zala
02671,Kántorjánosi,Szabolcs-Szatmár-Bereg
02680,Békésszentandrás,Békés
02699,Sárkeszi,Fejér
02705,Pálmonostora,Bács-Kiskun
02714,Tótvázsony,Veszprém
02723,Sáregres,Fejér
02741,Fáj,Borsod-Abaúj-Zemplén
02750,Vértesacsa,Fejér
02769,Tápiószőlős,Pest
02778,Ludányhalászi,Nógrád
02787,Nemesgulács,Veszprém
02796,Nak,Tolna
02802,Enying,Fejér
02811,Miszla,Tolna
02820,Abaújlak,Borsod-Abaúj-Zemplén
02839,Nemeskocs,Vas
02848,Felsőzsolca,Borsod-Abaúj-Zemplén
02857,Geresdlak,Baranya
02866,Oszlár,Borsod-Abaúj-Zemplén
02875,Sáta,Borsod-Abaúj-Zemplén
02884,Vasalja,Vas
02893,Söréd,Fejér
02909,Magyarszentmiklós,Zala
02918,Balmazújváros,Hajdú-Bihar
02927,Duka,Vas
02936,Dudar,Veszprém
02945,Biri,Szabolcs-Szatmár-Bereg
02954,Felsőszentiván,Bács-Kiskun
02963,Bükkszék,Heves
02972,Zalasárszeg,Zala
02981,Egerfarmos,Heves
02990,Bátorliget,Szabolcs-Szatmár-Bereg
03009,Szombathely,Vas
03018,Szebény,Baranya
03036,Döröske,Vas
03045,Hajdúböszörmény,Hajdú-Bihar
03054,Lickóvadamos,Zala
03063,Zádorfalva,Borsod-Abaúj-Zemplén
03072,Balatoncsicsó,Veszprém
03081,Sajóhídvég,Borsod-Abaúj-Zemplén
03090,Borgáta,Vas
03106,Kétsoprony,Békés
03115,Dunaújváros,Fejér
03124,Szentkozmadombja,Zala
03133,Taktaszada,Borsod-Abaúj-Zemplén
03142,Vönöck,Vas
03151,Kistapolca,Baranya
03160,Szuhafő,Borsod-Abaúj-Zemplén
03179,Budapest 02. ker.,főváros
03188,Iborfia,Zala
03197,Rábahídvég,Vas
03203,Nyim,Somogy
03212,Sajóivánka,Borsod-Abaúj-Zemplén
03221,Magyarlak,Vas
03230,Fajsz,Bács-Kiskun
03249,Őrhalom,Nógrád
03258,Földes,Hajdú-Bihar
03267,Badacsonytördemic,Veszprém
03276,Füzesabony,Heves
03285,Hirics,Baranya
03294,Molnaszecsőd,Vas
03300,Iklad,Pest
03319,Ártánd,Hajdú-Bihar
03328,Ipolytarnóc,Nógrád
03337,Ivánbattyán,Baranya
03346,Ivándárda,Baranya
03355,Nova,Zala
03364,Szilsárkány,Győr-Moson-Sopron
03373,Tiszapüspöki,Jász-Nagykun-Szolnok
03382,Szarvaskő,Heves
03391,Piricse,Szabolcs-Szatmár-Bereg
03407,Budajenő,Pest
03416,Somogyszil,Somogy
03425,Bogyiszló,Tolna
03434,Lasztonya,Zala
03443,Mezőzombor,Borsod-Abaúj-Zemplén
03452,Boldog,Heves
03461,Kétegyháza,Békés
03470,Meződ,Baranya
03489,Edde,Somogy
03498,Vereb,Fejér
03504,Sajóbábony,Borsod-Abaúj-Zemplén
03513,Visznek,Heves
03522,Baja,Bács-Kiskun
03531,Léh,Borsod-Abaúj-Zemplén
03540,Kökény,Baranya
03559,Balatonvilágos,Somogy
03568,Szentantalfa,Veszprém
03577,Géderlak,Bács-Kiskun
03586,Szabolcsveresmart,Szabolcs-Szatmár-Bereg
03595,Abaújszántó,Borsod-Abaúj-Zemplén
03601,Sóly,Veszprém
03610,Malomsok,Veszprém
03629,Géberjén,Szabolcs-Szatmár-Bereg
03638,Balatonhenye,Veszprém
03647,Döge,Szabolcs-Szatmár-Bereg
03656,Bátmonostor,Bács-Kiskun
03665,Cered,Nógrád
03674,Nemeskeresztúr,Vas
03683,Magyarhomorog,Hajdú-Bihar
03692,Mende,Pest
03708,Taktabáj,Borsod-Abaúj-Zemplén
03717,Tiszadorogma,Borsod-Abaúj-Zemplén
03726,Zebecke,Zala
03735,Bárdudvarnok,Somogy
03744,Gagyvendégi,Borsod-Abaúj-Zemplén
03753,Rábcakapi,Győr-Moson-Sopron
03762,Kiskinizs,Borsod-Abaúj-Zemplén
03771,Arnót,Borsod-Abaúj-Zemplén
03780,Ócsárd,Baranya
03799,Csákány,Somogy
03805,Szakáld,Borsod-Abaúj-Zemplén
03814,Hévíz,Zala
03823,Ároktő,Borsod-Abaúj-Zemplén
03832,Keszü,Baranya
03841,Bokor,Nógrád
03850,Tiszabercel,Szabolcs-Szatmár-Bereg
03869,Kistormás,Tolna
03878,Nyírpilis,Szabolcs-Szatmár-Bereg
03887,Szerecseny,Győr-Moson-Sopron
03896,Cserkút,Baranya
03902,Mád,Borsod-Abaúj-Zemplén
03911,Csákánydoroszló,Vas
03939,Cigánd,Borsod-Abaúj-Zemplén
03948,Raposka,Veszprém
03957,Viszló,Borsod-Abaúj-Zemplén
03966,Ruzsa,Csongrád-Csanád
03975,Baksa,Baranya
03984,Nagybudmér,Baranya
03993,Héhalom,Nógrád
04002,Zalacsány,Zala
04011,Budapest 19. ker.,főváros
04020,Himod,Győr-Moson-Sopron
04039,Csorna,Győr-Moson-Sopron
04048,Tófű,Baranya
04057,Pécel,Pest
04066,Küngös,Veszprém
04075,Ócsa,Pest
04084,Hevesvezekény,Heves
04093,Helvécia,Bács-Kiskun
04109,Dusnok,Bács-Kiskun
04118,Hortobágy,Hajdú-Bihar
04127,Som,Somogy
04136,Töttös,Baranya
04145,Hort,Heves
04154,Tárnok,Pest
04163,Bödeháza,Zala
04172,Tárnokréti,Győr-Moson-Sopron
04181,Perőcsény,Pest
04190,Köcsk,Vas
04206,Mezőgyán,Békés
04215,Nyomár,Borsod-Abaúj-Zemplén
04224,Csörötnek,Vas
04233,Aszaló,Borsod-Abaúj-Zemplén
04242,Nagykamarás,Békés
04251,Ecseg,Nógrád
04260,Mezőtúr,Jász-Nagykun-Szolnok
04279,Kamut,Békés
04288,Kispirit,Veszprém
04297,Kacsóta,Baranya
04303,Püspökszilágy,Pest
04312,Tarpa,Szabolcs-Szatmár-Bereg
04321,Bodorfa,Veszprém
04330,Mátraszőlős,Nógrád
04349,Mórahalom,Csongrád-Csanád
04358,Nógrád,Nógrád
04367,Bogyoszló,Győr-Moson-Sopron
04376,Lázi,Győr-Moson-Sopron
04385,Magyartelek,Baranya
04394,Makád,Pest
04400,Bekölce,Heves
04419,Nyésta,Borsod-Abaúj-Zemplén
04428,Ács,Komárom-Esztergom
04437,Udvar,Baranya
04446,Tiszakerecseny,Szabolcs-Szatmár-Bereg
04455,Nagylengyel,Zala
04464,Szakály,Tolna
04473,Kányavár,Zala
04482,Oroszló,Baranya
04491,Sényő,Szabolcs-Szatmár-Bereg
04507,Szendehely,Nógrád
04516,Rózsafa,Baranya
04525,Kecskéd,Komárom-Esztergom
04534,Mindszentkálla,Veszprém
04543,Feked,Baranya
04552,Litér,Veszprém
04561,Ábrahámhegy,Veszprém
04570,Márianosztra,Pest
04589,Veszkény,Győr-Moson-Sopron
04598,Kereki,Somogy
04604,Hejőkeresztúr,Borsod-Abaúj-Zemplén
04613,Gelénes,Szabolcs-Szatmár-Bereg
04622,Zsira,Győr-Moson-Sopron
04631,Tüskevár,Veszprém
04640,Kám,Vas
04659,Martonvásár,Fejér
04668,Mihályháza,Veszprém
04677,Emőd,Borsod-Abaúj-Zemplén
04686,Dédestapolcsány,Borsod-Abaúj-Zemplén
04695,Vasvár,Vas
04701,Iregszemcse,Tolna
04710,Nagyar,Szabolcs-Szatmár-Bereg
04729,Sály,Borsod-Abaúj-Zemplén
04738,Bak,Zala
04747,Sárpilis,Tolna
04756,Misefa,Zala
04765,Borszörcsök,Veszprém
04774,Szakoly,Szabolcs-Szatmár-Bereg
04783,Mosonmagyaróvár,Győr-Moson-Sopron
04792,Rábacsanak,Győr-Moson-Sopron
04808,Domony,Pest
04817,Zsáka,Hajdú-Bihar
04826,Kisgyalán,Somogy
04835,Somogyzsitfa,Somogy
04844,Terény,Nógrád
04853,Somogyudvarhely,Somogy
04862,Paks,Tolna
04871,Litke,Nógrád
04880,Ágfalva,Győr-Moson-Sopron
04899,Bikal,Baranya
04905,Pócsmegyer,Pest
04914,Trizs,Borsod-Abaúj-Zemplén
04923,Karcag,Jász-Nagykun-Szolnok
04932,Taszár,Somogy
04950,Ortaháza,Zala
04969,Tormafölde,Zala
04978,Ipolytölgyes,Pest
04987,Megyer,Veszprém
04996,Garbolc,Szabolcs-Szatmár-Bereg
05005,Irota,Borsod-Abaúj-Zemplén
05014,Vének,Győr-Moson-Sopron
05023,Bozsok,Vas
05032,Gyula,Békés
05041,Nyírderzs,Szabolcs-Szatmár-Bereg
05050,Csitár,Nógrád
05069,Györgytarló,Borsod-Abaúj-Zemplén
05078,Rinyabesenyő,Somogy
05087,Lovászpatona,Veszprém
05096,Viss,Borsod-Abaúj-Zemplén
05102,Balogunyom,Vas
05111,Csongrád,Csongrád-Csanád
05120,Sátoraljaújhely,Borsod-Abaúj-Zemplén
05139,Birján,Baranya
05148,Balatonkenese,Veszprém
05157,Somlójenő,Veszprém
05166,Tömörd,Vas
05175,Hajdúszoboszló,Hajdú-Bihar
05184,Csemő,Pest
05193,Szorosad,Somogy
05209,Villánykövesd,Baranya
05218,Nagygörbő,Zala
05227,Kisnémedi,Pest
05236,Gyöngyös,Heves
05245,Nemesbikk,Borsod-Abaúj-Zemplén
05254,Kuncsorba,Jász-Nagykun-Szolnok
05263,Karád,Somogy
05272,Kánya,Somogy
05281,Örkény,Pest
05290,Pilisszántó,Pest
05306,Bőcs,Borsod-Abaúj-Zemplén
05315,Borsodnádasd,Borsod-Abaúj-Zemplén
05324,Herencsény,Nógrád
05333,Csobád,Borsod-Abaúj-Zemplén
05342,Tófej,Zala
05351,Kára,Somogy
05360,Csákberény,Fejér
05379,Csanádpalota,Csongrád-Csanád
05388,Sümegprága,Veszprém
05397,Pusztaföldvár,Békés
05403,Babarc,Baranya
05412,Magyarmecske,Baranya
05421,Királyszentistván,Veszprém
05430,Magyarhertelend,Baranya
05449,Komárom,Komárom-Esztergom
05458,Kenézlő,Borsod-Abaúj-Zemplén
05467,Budapest 04. ker.,főváros
05476,Bő,Vas
05485,Baranyaszentgyörgy,Baranya
05494,Gadna,Borsod-Abaúj-Zemplén
05500,Somogyaracs,Somogy
05519,Siklós,Baranya
05528,Szörény,Baranya
05537,Kallósd,Zala
05546,Zákányszék,Csongrád-Csanád
05555,Nemeshany,Veszprém
05564,Lovas,Veszprém
05573,Derecske,Hajdú-Bihar
05582,Nagycsécs,Borsod-Abaúj-Zemplén
05591,Izsófalva,Borsod-Abaúj-Zemplén
05607,Szederkény,Baranya
05616,Hetefejércse,Szabolcs-Szatmár-Bereg
05625,Révfülöp,Veszprém
05634,Káptalantóti,Veszprém
05643,Szilvásvárad,Heves
05652,Nemesgörzsöny,Veszprém
05661,Ozora,Tolna
05670,Gégény,Szabolcs-Szatmár-Bereg
05689,Mezőkomárom,Fejér
05698,Váckisújfalu,Pest
05704,Pethőhenye,Zala
05713,Harasztifalu,Vas
05722,Kisbeszterce,Baranya
05731,Gerjen,Tolna
05740,Kőszegdoroszló,Vas
05759,Vécs,Heves
05768,Létavértes,Hajdú-Bihar
05777,Szászberek,Jász-Nagykun-Szolnok
05786,Ladánybene,Bács-Kiskun
05795,Cserkeszőlő,Jász-Nagykun-Szolnok
05801,Gávavencsellő,Szabolcs-Szatmár-Bereg
05810,Szőkedencs,Somogy
05829,Vál,Fejér
05838,Balatonalmádi,Veszprém
05847,Harsány,Borsod-Abaúj-Zemplén
05856,Kunadacs,Bács-Kiskun
05865,Egerlövő,Borsod-Abaúj-Zemplén
05874,Szajol,Jász-Nagykun-Szolnok
05883,Palotás,Nógrád
05892,Vokány,Baranya
05917,Vácduka,Pest
05926,Bódvaszilas,Borsod-Abaúj-Zemplén
05935,Karácsond,Heves
05944,Bakonyszentlászló,Győr-Moson-Sopron
05953,Kissomlyó,Vas
05962,Magyarcsanád,Csongrád-Csanád
05971,Csokonyavisonta,Somogy
05980,Egyházasgerge,Nógrád
05999,Kárász,Baranya
06008,Zamárdi,Somogy
06017,Magyarkeszi,Tolna
06026,Budapest 20. ker.,főváros
06035,Felsőpakony,Pest
06044,Kunbaja,Bács-Kiskun
06053,Ragály,Borsod-Abaúj-Zemplén
06062,Újpetre,Baranya
06071,Keménfa,Zala
06080,Ádánd,Somogy
06099,Ellend,Baranya
06105,Kálmáncsa,Somogy
06114,Füle,Fejér
06123,Dövény,Borsod-Abaúj-Zemplén
06132,Csapi,Zala
06141,Patalom,Somogy
06169,Nemesapáti,Zala
06178,Eszteregnye,Zala
06187,Nyíradony,Hajdú-Bihar
06196,Barbacs,Győr-Moson-Sopron
06202,Lakitelek,Bács-Kiskun
06211,Hollád,Somogy
06220,Bodonhely,Győr-Moson-Sopron
06239,Vadosfa,Győr-Moson-Sopron
06248,Pinkamindszent,Vas
06257,Zsadány,Békés
06266,Hosszúpályi,Hajdú-Bihar
06275,Zajta,Szabolcs-Szatmár-Bereg
06284,Pitvaros,Csongrád-Csanád
06293,Újhartyán,Pest
06309,Nagyrábé,Hajdú-Bihar
06318,Nagyrév,Jász-Nagykun-Szolnok
06327,Bakonypölöske,Veszprém
06336,Kozármisleny,Baranya
06345,Aldebrő,Heves
06354,Pusztamérges,Csongrád-Csanád
06363,Dörgicse,Veszprém
06372,Pomáz,Pest
06381,Tolmács,Nógrád
06390,Bozzai,Vas
06406,Jákfa,Vas
06415,Kákics,Baranya
06424,Kaposszerdahely,Somogy
06433,Tiszadada,Szabolcs-Szatmár-Bereg
06442,Kalocsa,Bács-Kiskun
06451,Gamás,Somogy
06460,Füzérkajata,Borsod-Abaúj-Zemplén
06479,Lapáncsa,Baranya
06488,Nagyecsed,Szabolcs-Szatmár-Bereg
06497,Bonyhád,Tolna
06503,Átány,Heves
06512,Kismányok,Tolna
06521,Gyermely,Komárom-Esztergom
06530,Pusztamagyaród,Zala
06549,Vindornyalak,Zala
06558,Bölcske,Tolna
06567,Sormás,Zala
06576,Mezőszentgyörgy,Fejér
06585,Gálosfa,Somogy
06594,Dömös,Komárom-Esztergom
06600,Somogyszentpál,Somogy
06619,Börcs,Győr-Moson-Sopron
06628,Szécsény,Nógrád
06637,Varsád,Tolna
06646,Jobaháza,Győr-Moson-Sopron
06655,Hejőbába,Borsod-Abaúj-Zemplén
06664,Ete,Komárom-Esztergom
06673,Ajka,Veszprém
06682,Aka,Komárom-Esztergom
06691,Kazincbarcika,Borsod-Abaúj-Zemplén
06707,Borsodivánka,Borsod-Abaúj-Zemplén
06716,Nádasd,Vas
06725,Borjád,Baranya
06734,Csősz,Fejér
06743,Diósjenő,Nógrád
06761,Nagyszékely,Tolna
06770,Markotabödöge,Győr-Moson-Sopron
06789,Kemse,Baranya
06798,Hidas,Baranya
06804,Kötegyán,Békés
06813,Mágocs,Baranya
06822,Csobánka,Pest
06831,Kishajmás,Baranya
06840,Sóskút,Pest
06859,Törökbálint,Pest
06868,Adorjás,Baranya
06877,Visz,Somogy
06886,Aranyosgadány,Baranya
06895,Kópháza,Győr-Moson-Sopron
06901,Tengelic,Tolna
06910,Bélavár,Somogy
06929,Bekecs,Borsod-Abaúj-Zemplén
06938,Vállaj,Szabolcs-Szatmár-Bereg
06947,Szokolya,Pest
06956,Fehértó,Győr-Moson-Sopron
06965,Katádfa,Baranya
06974,Cserépfalu,Borsod-Abaúj-Zemplén
06992,Kővágótöttös,Baranya
07001,Nagykarácsony,Fejér
07010,Páprád,Baranya
07029,Mucsi,Tolna
07038,Lénárddaróc,Borsod-Abaúj-Zemplén
07047,Baracs,Fejér
07056,Öreglak,Somogy
07065,Városlőd,Veszprém
07074,Vázsnok,Baranya
07083,Tiszanána,Heves
07092,Szentbékkálla,Veszprém
07108,Tinnye,Pest
07117,Balatonföldvár,Somogy
07126,Hetvehely,Baranya
07135,Cserszegtomaj,Zala
07144,Piliscsaba,Pest
07153,Palkonya,Baranya
07162,Pácsony,Vas
07171,Sorkifalud,Vas
07180,Sarud,Heves
07199,Patak,Nógrád
07205,Újvárfalva,Somogy
07214,Acsád,Vas
07223,Vadna,Borsod-Abaúj-Zemplén
07232,Zalaszentlászló,Zala
07241,Apc,Heves
07250,Hosztót,Veszprém
07269,Lepsény,Fejér
07278,Püspökmolnári,Vas
07287,Bakonykoppány,Veszprém
07296,Bögöte,Vas
07302,Adásztevel,Veszprém
07311,Bokod,Komárom-Esztergom
07320,Debercsény,Nógrád
07339,Aszófő,Veszprém
07348,Papkeszi,Veszprém
07357,Makó,Csongrád-Csanád
07366,Szárász,Baranya
07375,Balatonkeresztúr,Somogy
07384,Solymár,Pest
07393,Gerendás,Békés
07409,Pásztó,Nógrád
07418,Kengyel,Jász-Nagykun-Szolnok
07427,Bazsi,Veszprém
07436,Parád,Heves
07445,Kocsord,Szabolcs-Szatmár-Bereg
07463,Mérk,Szabolcs-Szatmár-Bereg
07472,Berkesz,Szabolcs-Szatmár-Bereg
07481,Győrújbarát,Győr-Moson-Sopron
07490,Tószeg,Jász-Nagykun-Szolnok
07506,Lajoskomárom,Fejér
07515,Domoszló,Heves
07524,Drágszél,Bács-Kiskun
07533,Bürüs,Baranya
