ksh_code,line_code,osm_id,osm_name,distance_m
01508,75,,Ipolyszög,3.4
01526,81,,Somoskőújfalu,6.9
02051,30,,Sávoly,1.1
02097,23,,Gutorfölde,2.1
02185,29,,Csopak,0.2
02219,29,,Balatonfűzfő,4.0
02264,40,,Vásárosdombó,2.0
02307,100,,Kaba,2.5
02325,116,,Baktalórántháza,3.6
02431,15,,Bük,3.2
02459,46,,Vajta,6.9
02495,15,,Nagycenk,2.6
02547,61,,Sumony,2.1
02565,40,,Döbrököz,9.1
02608,25,,Zalaszentiván,2.4
02626,130,,Martfű,3.3
02635,1,,Öttevény,2.1
02723,40,,Sáregres,4.5
02778,78,,Ludányhalászi,5.5
02839,20,,Nemeskocs,8.3
02848,80,,Felsőzsolca,1.4
02848,90,,Felsőzsolca,12.9
02918,108,,Balmazújváros,3.3
02981,108,,Egerfarmos,3.3
03009,15,,Szombathely,49.4
03009,18,,Szombathely,50.9
03009,20,,Szombathely,50.4
03009,21,,Szombathely,7.2
03045,109,,Hajdúböszörmény,9.8
03115,342,,Dunaújváros,10.9
03115,42,,Dunaújváros,6.2
03133,80,,Taktaszada,1.7
03249,78,,Őrhalom,7.0
03276,80,,Füzesabony,2.2
03328,78,,Ipolytarnóc,10.1
03382,87,,Szarvaskő,5.3
03443,100c,,Mezőzombor,7.6
03443,80,,Mezőzombor,2.4
03461,120,,Kétegyháza,2.5
03461,121,,Kétegyháza,21.2
03522,154,,Baja,12.3
03559,30,,Balatonvilágos,5.3
03595,98,,Abaújszántó,3.0
03601,27,,Sóly,3.9
03674,25,,Nemeskeresztúr,4.0
03692,120a,,Mende,5.9
03887,10,,Szerecseny,0.0
03902,98,,Mád,0.0
03911,21,,Csákánydoroszló,4.7
03948,26,,Raposka,3.8
04039,14,,Csorna,47.7
04039,16,,Csorna,7.6
04039,8,,Csorna,12.2
04057,80,,Pécel,9.6
04075,142,,Ócsa,4.2
04084,102,,Hevesvezekény,4.0
04093,152,,Helvécia,2.5
04118,108,,Hortobágy,2.3
04154,30,,Tárnok,2.4
04154,31,,Tárnok,15.3
04233,90,,Aszaló,3.8
04260,120,,Mezőtúr,1.7
04260,125,,Mezőtúr,70.6
04358,75,,Nógrád,9.1
04428,1,,Ács,2.7
04525,13,,Kecskéd,4.4
04561,29,,Ábrahámhegy,7.5
04589,8,,Veszkény,4.0
04604,88,,Hejőkeresztúr,22.2
04604,89,,Hejőkeresztúr,17.3
04631,20,,Tüskevár,9.4
04659,30,,Martonvásár,3.8
04668,10,,Mihályháza,0.0
04677,80,,Emőd,1.7
04738,23,,Bak,3.3
04783,1,,Mosonmagyaróvár,2.4
04853,60,,Somogyudvarhely,7.0
04862,42,,Paks,10.3
04871,78,,Litke,12.8
04923,100,,Karcag,2.5
04923,103,,Karcag,11.2
04932,41,,Taszár,2.0
04950,23,,Ortaháza,2.3
05032,135,,Gyula,2.0
05111,147,,Csongrád,6.7
05120,80,,Sátoraljaújhely,0.0
05148,29,,Balatonkenese,3.2
05175,100,,Hajdúszoboszló,4.0
05209,65,,Villánykövesd,3.2
05227,77,,Kisnémedi,3.1
05236,85,,Gyöngyös,9.7
05263,35,,Karád,0.9
05281,142,,Örkény,3.5
05333,90,,Csobád,2.4
05342,23,,Tófej,2.6
05379,121,,Csanádpalota,2.4
05430,47,,Magyarhertelend,1.6
05449,1,,Komárom,6.8
05449,3,,Komárom,3.7
05449,5,,Komárom,22.5
05582,89,,Nagycsécs,5.6
05625,29,,Révfülöp,15.5
05643,87,,Szilvásvárad,2.0
05652,14,,Nemesgörzsöny,4.4
05670,100,,Gégény,11.4
05698,77,,Váckisújfalu,16.8
05777,86,,Szászberek,6.1
05838,29,,Balatonalmádi,5.7
05874,100,,Szajol,6.9
05874,120,,Szajol,6.9
05892,65,,Vokány,8.9
05926,94,,Bódvaszilas,6.9
05935,80,,Karácsond,1.7
05944,11,,Bakonyszentlászló,9.9
05962,121,,Magyarcsanád,0.4
06008,30,,Zamárdi,0.0
06035,142,,Felsőpakony,4.9
06080,35,,Ádánd,3.2
06114,29,,Füle,2.7
06187,110,,Nyíradony,2.4
06202,145,,Lakitelek,2.9
06202,146,,Lakitelek,2.3
06284,125,,Pitvaros,4.1
06345,84,,Aldebrő,6.3
06415,61,,Kákics,4.6
06442,153,,Kalocsa,9.7
06442,153K,,Kalocsa,25.5
06488,115,,Nagyecsed,4.2
06558,42,,Bölcske,3.8
06628,78,,Szécsény,1.2
06673,20,,Ajka,19.9
06673,351,,Ajka,24.1
06691,92,,Kazincbarcika,3.1
06691,95,,Kazincbarcika,19.5
06743,75,,Diósjenő,15.8
06743,76,,Diósjenő,20.6
06804,128,,Kötegyán,5.0
06804,135,,Kötegyán,0.0
06859,1,,Törökbálint,2.0
06895,15,,Kópháza,0.0
06901,46,,Tengelic,4.6
06910,60,,Bélavár,2.5
06947,75,,Szokolya,2.3
07001,43,,Nagykarácsony,1.5
07056,36,,Öreglak,2.4
07065,20,,Városlőd,9.0
07117,30,,Balatonföldvár,2.0
07126,40,,Hetvehely,2.1
07144,2,,Piliscsaba,4.5
07153,65,,Palkonya,4.8
07214,15,,Acsád,2.8
07223,92,,Vadna,4.1
07269,27,,Lepsény,69.6
07269,30,,Lepsény,4.7
07339,29,,Aszófő,3.7
07357,121,,Makó,2.9
07375,30,,Balatonkeresztúr,95.3
07375,37,,Balatonkeresztúr,3.4
07384,2,,Solymár,2.5
07409,81,,Pásztó,11.4
07418,130,,Kengyel,6.4
07490,145,,Tószeg,4.1
07597,109,,Tiszavasvári,3.9
07612,151,,Dunavecse,6.7
07685,40,,Dombóvár,4.7
07685,41,,Dombóvár,4.8
07685,50,,Dombóvár,9.4
07694,65,,Szőkéd,2.0
07807,80,,Isaszeg,4.9
07852,103,,Tiszaszőlős,7.1
07904,115,,Nyírcsaholy,6.2
07922,20,,Szentgál,18.4
08013,25,,Felsőjánosfa,4.0
08077,94,,Szendrő,2.6
08086,90,,Ináncs,3.4
08101,23,,Sárhida,2.8
08156,75,,Drégelypalánk,2.0
08244,125,,Nagyszénás,1.6
08314,130,,Hódmezővásárhely,19.8
08314,135,,Hódmezővásárhely,9.5
08332,142,,Táborfalva,5.9
08350,155,,Harkakötöny,3.8
08378,155,,Jászszentlászló,3.5
08396,94,,Boldva,2.9
08420,116,,Napkor,4.3
08518,15,,Sopron,7.4
08518,300b,,Sopron,2.7
08518,8,,Sopron,1.8
08527,84,,Sirok,3.5
08545,71,,Őrbottyán,6.9
08581,30,,Baracska,1.9
08590,35,,Tab,4.4
08679,153,,Öregcsertő,0.0
08688,4,,Süttő,2.2
08712,81,,Jobbágyi,9.0
08721,11,,Győrasszonyfa,0.0
08749,20,,Karakószörcsök,11.3
08758,4,,Tát,1.2
08776,100,,Ajak,1.8
08864,154,,Bátaszék,12.3
08864,46,,Bátaszék,2.0
08864,50,,Bátaszék,7.0
08864,64,,Bátaszék,17.4
