osm_id,osm_name,normalized_name,reason,candidate_ksh_code,candidate_line_code
n6909523420,3 км,3 км,NO_UNIQUE_KSH_NAME,,
n499511092,Abaújszántói fürdő,Abaújszántói fürdő,NO_UNIQUE_KSH_NAME,,
n9974664546,Abonyi út,Abonyi út,NO_UNIQUE_KSH_NAME,,
n7167426891,Acsa-Erdőkürt,Acsa-Erdőkürt,NO_UNIQUE_KSH_NAME,,
n8880619122,Agárd,Agárd,NO_UNIQUE_KSH_NAME,,
n11112252821,Agárdytelep,Agárdytelep,NO_UNIQUE_KSH_NAME,,
n71526268,Ajka-Gyártelep,Ajka-Gyártelep,NO_UNIQUE_KSH_NAME,,
n7041637621,Akadémiaújtelep,Akadémiaújtelep,NO_UNIQUE_KSH_NAME,,
n10160028432,Alagimajor,Alagimajor,NO_UNIQUE_KSH_NAME,,
n6491117646,Albertfalva,Albertfalva,NO_UNIQUE_KSH_NAME,,
n5435407497,Alcsútdoboz Arborétum,Alcsútdoboz Arborétum,NO_UNIQUE_KSH_NAME,,
n1141836627,Almamellék,Almamellék,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n9819657204,Almár,Almár,NO_UNIQUE_KSH_NAME,,
n9849963681,Almás,Almás,NO_UNIQUE_KSH_NAME,,
n8434997976,Almásfüzitő felső,Almásfüzitő felső,NO_UNIQUE_KSH_NAME,,
n1065130506,Alsóboldva,Alsóboldva,NO_UNIQUE_KSH_NAME,,
n10223586995,Alsóbélatelep,Alsóbélatelep,NO_UNIQUE_KSH_NAME,,
n8893475090,Alsógalla,Alsógalla,NO_UNIQUE_KSH_NAME,,
n92752175,Alsógyenes,Alsógyenes,NO_UNIQUE_KSH_NAME,,
n412348482,Alsógöd,Alsógöd,NO_UNIQUE_KSH_NAME,,
n410912336,Alsóméntelek,Alsóméntelek,NO_UNIQUE_KSH_NAME,,
n4769050243,Alsónemesapáti,Alsónemesapáti,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n1212435091,Alsórönök,Alsórönök,NO_UNIQUE_KSH_NAME,,
n1065129382,Alsóúrrét,Alsóúrrét,NO_UNIQUE_KSH_NAME,,
n2720648845,Andráshida,Andráshida,NO_UNIQUE_KSH_NAME,,
n3268507016,Andókút,Andókút,NO_UNIQUE_KSH_NAME,,
n7214776436,Angyalföld,Angyalföld,NO_UNIQUE_KSH_NAME,,
n6697934934,Angyalisziget,Angyalisziget,NO_UNIQUE_KSH_NAME,,
n497138634,Apafa,Apafa,NO_UNIQUE_KSH_NAME,,
n5258615751,Apc-Zagyvaszántó,Apc-Zagyvaszántó,NO_UNIQUE_KSH_NAME,,
n7792439506,Aquincum,Aquincum,NO_UNIQUE_KSH_NAME,,
n6349834611,Aquincum,Aquincum,NO_UNIQUE_KSH_NAME,,
n628589435,Aradványpuszta,Aradványpuszta,NO_UNIQUE_KSH_NAME,,
n5217774778,Arany János utca,Arany János utca,NO_UNIQUE_KSH_NAME,,
n6137205676,Aranyvölgy,Aranyvölgy,NO_UNIQUE_KSH_NAME,,
n5217774795,Astoria,Astoria,NO_UNIQUE_KSH_NAME,,
n80221098,Badacsony,Badacsony,NO_UNIQUE_KSH_NAME,,
n80221094,Badacsonylábdihegy,Badacsonylábdihegy,NO_UNIQUE_KSH_NAME,,
n80221090,Badacsonytördemic-Szigliget,Badacsonytördemic-Szigliget,NO_UNIQUE_KSH_NAME,,
n9480407148,Badacsonyörs,Badacsonyörs,NO_UNIQUE_KSH_NAME,,
n1065129606,Bagimajor,Bagimajor,NO_UNIQUE_KSH_NAME,,
n1065130467,Baja-Dunafürdő,Baja-Dunafürdő,NO_UNIQUE_KSH_NAME,,
n5217774776,Bajcsy-Zsilinszky út,Bajcsy-Zsilinszky út,NO_UNIQUE_KSH_NAME,,
n5217774762,Bajza utca,Bajza utca,NO_UNIQUE_KSH_NAME,,
n80221134,Balatonakali-Dörgicse,Balatonakali-Dörgicse,NO_UNIQUE_KSH_NAME,,
n8371157148,Balatonaliga,Balatonaliga,NO_UNIQUE_KSH_NAME,,
n80221180,Balatonarács,Balatonarács,NO_UNIQUE_KSH_NAME,,
n477828393,Balatonfenyves GV,Balatonfenyves GV,NO_UNIQUE_KSH_NAME,,
n10223546805,Balatonfenyves alsó,Balatonfenyves alsó,NO_UNIQUE_KSH_NAME,,
n61086267,Balatonfőkajár felső,Balatonfőkajár felső,NO_UNIQUE_KSH_NAME,,
n8458047285,Balatonlelle felső,Balatonlelle felső,NO_UNIQUE_KSH_NAME,,
n6354445897,Balatonszéplak alsó,Balatonszéplak alsó,NO_UNIQUE_KSH_NAME,,
n6354450614,Balatonszéplak felső,Balatonszéplak felső,NO_UNIQUE_KSH_NAME,,
n2269118652,Balkány,Balkány,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n2153434311,Ballatanya,Ballatanya,NO_UNIQUE_KSH_NAME,,
n1437481394,Baláta,Baláta,NO_UNIQUE_KSH_NAME,,
n33470679,Barcs felső,Barcs felső,NO_UNIQUE_KSH_NAME,,
n8530031030,Barosstelep,Barosstelep,NO_UNIQUE_KSH_NAME,,
n685038262,Barátság,Barátság,NO_UNIQUE_KSH_NAME,,
n1060125602,Bashalom,Bashalom,NO_UNIQUE_KSH_NAME,,
n5217774798,Batthyány tér,Batthyány tér,NO_UNIQUE_KSH_NAME,,
n7792484799,Batthyány tér,Batthyány tér,NO_UNIQUE_KSH_NAME,,
n92752325,Becehegy,Becehegy,NO_UNIQUE_KSH_NAME,,
n7278436823,Becske alsó,Becske alsó,NO_UNIQUE_KSH_NAME,,
n445818050,Belsőbáránd,Belsőbáránd,NO_UNIQUE_KSH_NAME,,
n1065130530,Belsőkamaráspuszta,Belsőkamaráspuszta,NO_UNIQUE_KSH_NAME,,
n9168441736,Belsőperegpuszta,Belsőperegpuszta,NO_UNIQUE_KSH_NAME,,
n337738774,Berekhát,Berekhát,NO_UNIQUE_KSH_NAME,,
n10968027734,Berente-Rendező,Berente-Rendező,NO_UNIQUE_KSH_NAME,,
n9480407142,Berhida,Berhida,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n1065130592,Bicere,Bicere,NO_UNIQUE_KSH_NAME,,
n9212499233,Bicske alsó,Bicske alsó,NO_UNIQUE_KSH_NAME,,
n5217774782,Bikás park,Bikás park,NO_UNIQUE_KSH_NAME,,
n8371157152,Biri,Biri,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n6503462456,Blaha Lujza tér,Blaha Lujza tér,NO_UNIQUE_KSH_NAME,,
n1065130536,Bogárzó,Bogárzó,NO_UNIQUE_KSH_NAME,,
n1437481397,Bojsza,Bojsza,NO_UNIQUE_KSH_NAME,,
n4039134492,Boros-Pincehely,Boros-Pincehely,NO_UNIQUE_KSH_NAME,,
n1065129463,Borsihalom,Borsihalom,NO_UNIQUE_KSH_NAME,,
n6974099855,Boráros tér,Boráros tér,NO_UNIQUE_KSH_NAME,,
n2508607839,Bucsuta,Bucsuta,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n1065130015,Budafa,Budafa,NO_UNIQUE_KSH_NAME,,
n6854258701,Budafok,Budafok,NO_UNIQUE_KSH_NAME,,
n8518689663,Budai út,Budai út,NO_UNIQUE_KSH_NAME,,
n6349837552,Budakalász,Budakalász,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n6349841373,"Budakalász, Lenfonó","Budakalász, Lenfonó",NO_UNIQUE_KSH_NAME,,
n748766808,Budapest-Déli,Budapest-Déli,NO_UNIQUE_KSH_NAME,,
n2894347408,Budapest-Kelenföld,Budapest-Kelenföld,NO_UNIQUE_KSH_NAME,,
n3141893115,Budapest-Keleti,Budapest-Keleti,NO_UNIQUE_KSH_NAME,,
n3010560233,Budapest-Nyugati,Budapest-Nyugati,NO_UNIQUE_KSH_NAME,,
n8530053325,Budatétény,Budatétény,NO_UNIQUE_KSH_NAME,,
n3260071767,Bugac felső,Bugac felső,NO_UNIQUE_KSH_NAME,,
n9849963680,Bácsbokod-Bácsborsód,Bácsbokod-Bácsborsód,NO_UNIQUE_KSH_NAME,,
n10223953766,Bánhalma-Halastó,Bánhalma-Halastó,NO_UNIQUE_KSH_NAME,,
n8440432930,Bánhida,Bánhida,NO_UNIQUE_KSH_NAME,,
n1065130540,Bánkút,Bánkút,NO_UNIQUE_KSH_NAME,,
n2508607840,Bánkürtös,Bánkürtös,NO_UNIQUE_KSH_NAME,,
n2507415857,Bánokszentgyörgy,Bánokszentgyörgy,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n1212434948,Bánrévei Vízmű,Bánrévei Vízmű,NO_UNIQUE_KSH_NAME,,
n1085387128,Bázakerettye alsó,Bázakerettye alsó,NO_UNIQUE_KSH_NAME,,
n1085371009,Bázakerettye felső,Bázakerettye felső,NO_UNIQUE_KSH_NAME,,
n6345447451,Békásmegyer,Békásmegyer,NO_UNIQUE_KSH_NAME,,
n1066556313,Bélapátfalvai Cementgyár,Bélapátfalvai Cementgyár,NO_UNIQUE_KSH_NAME,,
