line_code,display_name
1,1. számú vasútvonal
10,10. számú vasútvonal
100,100. számú vasútvonal
100c,100c. számú vasútvonal
101,101. számú vasútvonal
102,102. számú vasútvonal
103,103. számú vasútvonal
105,105. számú vasútvonal
106,106. számú vasútvonal
108,108. számú vasútvonal
109,109. számú vasútvonal
11,11. számú vasútvonal
110,110. számú vasútvonal
111,111. számú vasútvonal
114,114. számú vasútvonal
115,115. számú vasútvonal
116,116. számú vasútvonal
117,117. számú vasútvonal
11a,11a. számú vasútvonal
12,12. számú vasútvonal
120,120. számú vasútvonal
120a,120a. számú vasútvonal
121,121. számú vasútvonal
125,125. számú vasútvonal
128,128. számú vasútvonal
13,13. számú vasútvonal
130,130. számú vasútvonal
135,135. számú vasútvonal
136,136. számú vasútvonal
13L,13L. számú vasútvonal
14,14. számú vasútvonal
140,140. számú vasútvonal
142,142. számú vasútvonal
145,145. számú vasútvonal
146,146. számú vasútvonal
147,147. számú vasútvonal
149,149. számú vasútvonal
15,15. számú vasútvonal
150,150. számú vasútvonal
151,151. számú vasútvonal
152,152. számú vasútvonal
153,153. számú vasútvonal
154,154. számú vasútvonal
155,155. számú vasútvonal
16,16. számú vasútvonal
18,18. számú vasútvonal
2,2. számú vasútvonal
20,20. számú vasútvonal
21,21. számú vasútvonal
22,22. számú vasútvonal
23,23. számú vasútvonal
24,24. számú vasútvonal
25,25. számú vasútvonal
26,26. számú vasútvonal
262e,262e. számú vasútvonal
268,268. számú vasútvonal
27,27. számú vasútvonal
284,284. számú vasútvonal
29,29. számú vasútvonal
3,3. számú vasútvonal
30,30. számú vasútvonal
300b,300b. számú vasútvonal
306,306. számú vasútvonal
31,31. számú vasútvonal
342,342. számú vasútvonal
35,35. számú vasútvonal
351,351. számú vasútvonal
353,353. számú vasútvonal
36,36. számú vasútvonal
37,37. számú vasútvonal
371,371. számú vasútvonal
372,372. számú vasútvonal
38,38. számú vasútvonal
392,392. számú vasútvonal
4,4. számú vasútvonal
40,40. számú vasútvonal
400,400. számú vasútvonal
40E,40E. számú vasútvonal
41,41. számú vasútvonal
42,42. számú vasútvonal
43,43. számú vasútvonal
44,44. számú vasútvonal
46,46. számú vasútvonal
47,47. számú vasútvonal
5,5. számú vasútvonal
50,50. számú vasútvonal
5b,5b. számú vasútvonal
6,6. számú vasútvonal
60,60. számú vasútvonal
61,61. számú vasútvonal
62,62. számú vasútvonal
64,64. számú vasútvonal
65,65. számú vasútvonal
66,66. számú vasútvonal
70,70. számú vasútvonal
70AX,70AX. számú vasútvonal
71,71. számú vasútvonal
74,74. számú vasútvonal
75,75. számú vasútvonal
76,76. számú vasútvonal
77,77. számú vasútvonal
78,78. számú vasútvonal
8,8. számú vasútvonal
80,80. számú vasútvonal
81,81. számú vasútvonal
81M,81M. számú vasútvonal
82,82. számú vasútvonal
84,84. számú vasútvonal
85,85. számú vasútvonal
86,86. számú vasútvonal
87,87. számú vasútvonal
88,88. számú vasútvonal
89,89. számú vasútvonal
9,9. számú vasútvonal
90,90. számú vasútvonal
92,92. számú vasútvonal
94,94. számú vasútvonal
95,95. számú vasútvonal
98,98. számú vasútvonal
