ksh_code,line_code
01508,75
01526,81
02051,30
02097,23
02185,29
02219,29
02264,40
02307,100
02325,116
02431,15
02459,46
02495,15
02547,61
02565,40
02608,25
02626,130
02635,1
02723,40
02778,78
02839,20
02848,80
02848,90
02918,108
02981,108
03009,15
03009,18
03009,20
03009,21
03045,109
03115,342
03115,42
03133,80
03249,78
03276,80
03328,78
03382,87
03443,100c
03443,80
03461,120
03461,121
03522,154
03559,30
03595,98
03601,27
03674,25
03692,120a
03887,10
03902,98
03911,21
03948,26
04039,14
04039,16
04039,8
04057,80
04075,142
04084,102
04093,152
04118,108
04154,30
04154,31
04233,90
04260,120
04260,125
04358,75
04428,1
04525,13
04561,29
04589,8
04604,88
04604,89
04631,20
04659,30
04668,10
04677,80
04738,23
04783,1
04853,60
04862,42
04871,78
04923,100
04923,103
04932,41
04950,23
05032,135
05111,147
05120,80
05148,29
05175,100
05209,65
05227,77
05236,85
05263,35
05281,142
05333,90
05342,23
05379,121
05430,47
05449,1
05449,3
05449,5
05582,89
05625,29
05643,87
05652,14
05670,100
05698,77
05777,86
05838,29
05874,100
05874,120
05892,65
05926,94
05935,80
05944,11
05962,121
06008,30
06035,142
06080,35
06114,29
06187,110
06202,145
06202,146
06284,125
06345,84
06415,61
06442,153
06442,153K
06488,115
06558,42
06628,78
06673,20
06673,351
06691,92
06691,95
06743,75
06743,76
06804,128
06804,135
06859,1
06895,15
06901,46
06910,60
06947,75
07001,43
07056,36
07065,20
07117,30
07126,40
07144,2
07153,65
07214,15
07223,92
07269,27
07269,30
07339,29
07357,121
07375,30
07375,37
07384,2
07409,81
07418,130
07490,145
07597,109
07612,151
07685,40
07685,41
07685,50
07694,65
07807,80
07852,103
07904,115
07922,20
08013,25
08077,94
08086,90
08101,23
08156,75
08244,125
08314,130
08314,135
08332,142
08350,155
08378,155
08396,94
08420,116
08518,15
08518,300b
08518,8
08527,84
08545,71
08581,30
08590,35
08679,153
08688,4
08712,81
08721,11
08749,20
08758,4
08776,100
08864,154
08864,46
08864,50
08864,64
08891,1
08925,42
08952,115
08961,46
08989,105
09007,50
09034,75
09052,84
09098,41
09113,117
09122,120a
09131,80
09168,60
09210,130
09247,142
09265,100
09344,150
09353,111
09469,154
09496,92
09511,147
09584,150
09593,80
09627,120
09627,130
09645,30
09821,100
09849,142
09894,75
09900,42
09919,100
09919,400
09964,84
09973,150
10092,29
10117,111
10126,114
10135,64
10162,100
10162,101
10296,30
10348,30
10393,100
10418,372
10418,80
10481,1
10490,2
10551,100
10588,16
10612,94
10630,25
10667,140
10719,154
10719,392
10728,94
10746,65
10816,150
10922,120a
11013,80
11022,98
11031,40
11174,37
11253,8
11262,8
11332,92
11341,100
11341,140
11402,47
11439,20
11439,20L
11509,41
11563,154
11679,25
11697,90
11697,98
11767,11
11767,20
11776,20
11794,149
11873,121
11873,125
11882,1
11934,2
11943,18
11989,120
11989,129
11998,40
12007,140
12177,125
12186,100
12210,98
12238,26
12256,128
12265,135
12274,116
12344,150
12441,102
12469,98
12511,75
12548,40
12575,23
12609,25
12672,111
12681,135
12779,121
12788,101
12803,109
12876,35
12885,80
12894,100
12919,26
12955,11
13019,110
13134,98
13152,46
13161,136
13170,146
13259,40
13295,78
13310,40
13408,152
13426,20
13435,120a
13462,40
13480,71
13532,21
13532,22
13550,100c
13596,371
13657,75
13657,78
13781,41
13815,130
13824,35
13833,88
13921,23
13930,41
13949,80
13985,35
13994,41
14012,60
14021,18
14030,50
14058,150
14058,152
14094,146
14146,120a
14155,268
14155,4
14252,121
14313,92
14340,2
14401,80
14456,130
14456,147
14474,98
14492,92
14526,102
14562,30
14571,120a
14580,80
14580,86
14614,100
14623,60
14632,30
14632,36
14650,65
14687,8
14739,100c
14827,20
14827,30
14827,44
14827,6
14836,120a
14845,110
14872,84
14960,70
14979,30
15033,8
15097,23
15130,100
15130,105
15130,106
15130,108
15200,120
15200,135
15246,82
15255,4
15291,120a
15291,82
15307,84
15334,16
15343,8
15343,9
15352,4
15361,20
15361,27
15422,8
15431,140
15459,40
15501,16
15565,29
15653,10
15671,16
15714,8
15732,41
15741,108
15796,80
15866,40
15866,60
15936,98
16018,154
16054,92
16072,27
16072,29
16106,37
16142,10
16160,102
16188,77
16188,80
16197,125
16203,100
16203,111
16203,400
16434,125
16470,37
16753,94
16799,94
16832,18
16878,78
16957,111
17002,26
17020,25
17127,41
17145,102
17154,29
17172,25
17206,100
17206,100c
17303,120a
17312,40
17312,40E
17330,13
17330,5
17419,62
17525,29
17534,85
17543,23
17552,42
17631,30
17631,35
17668,71
17677,142
17686,152
17756,100
17826,111
17826,400
17871,26
17905,1
17923,149
17932,98
17941,38
17978,86
17987,87
18096,30
18102,125
18157,1
18157,12
18193,26
18209,82
18218,150
18227,41
18236,60
18245,80
18254,5
18263,40
18281,102
18306,100c
18324,111
18324,116
18342,71
18388,46
18421,26
18485,5
18485,5b
18500,37
18546,37
18546,38
18546,41
18616,70
18616,70AX
18643,98
18786,78
18801,94
18874,110
18874,111
18874,115
18962,40
19044,81
19187,30
19202,40
19239,1
19257,128
19275,94
19284,50
19415,40
19415,64
19415,65
19433,80
19442,36
19503,80
19549,1
19585,40
19628,120
19673,15
19716,140
19770,36
19789,153
19813,120
19886,71
19901,62
19947,151
19956,101
19965,84
19974,147
19983,150
19992,100
20066,140
20075,84
20127,1
20172,100
20172,400
20206,44
20297,140
20297,146
20297,147
20297,155
20303,116
20358,42
20400,10
20428,146
20473,35
20473,36
20473,41
20491,87
20507,40
20534,150
20604,8
20640,100
20659,65
20701,50
20729,30
20747,84
20783,40
20914,125
20996,25
21050,25
21069,151
21096,65
21111,86
21148,151
21175,29
21209,120
21306,20
21315,41
21324,30
21351,90
21388,78
21449,41
21485,111
21494,146
21555,130
21713,120a
21740,100c
21874,2
21883,128
21908,5
21926,30
21953,92
21999,152
22105,86
22196,108
22202,86
22220,14
22284,116
22309,262e
22309,80
22309,81
22327,29
22406,109
22415,100
22415,284
22558,90
22567,102
22600,47
22673,35
22691,11
22691,13
22761,46
22789,103
22798,86
22822,30
22831,8
23010,25
23010,26
23056,145
23065,125
23065,135
23065,147
23092,35
23108,25
23162,40
23171,103
23214,100
23241,80
23269,110
23278,1
23296,41
23302,26
23339,82
23524,109
23524,117
23560,10
23603,40E
23630,35
23649,70
23658,20
23676,140
23694,40
23861,21
23870,125
23931,128
23940,128
23959,65
23986,75
24077,121
24147,84
24192,46
24235,102
24271,25
24305,11
24396,149
24396,155
24493,35
24518,120a
24545,146
24651,10
24721,14
24828,128
24907,30
24916,70
24934,70
24934,71
24934,75
24970,90
24989,46
25016,30
25061,150
25131,2
25140,40
25168,128
25177,66
25210,30
25229,5
25326,80
25335,8
25353,25
25450,20
25487,2
25502,120
25584,1
25584,8
25593,26
25618,90
25627,142
25654,20
25663,78
25715,5
25724,15
25733,130
25788,81
25788,81M
25849,25
25867,41
25919,100
25937,150
25946,21
25973,110
26116,101
26143,20
26365,110
26383,147
26392,36
26408,47
26426,20
26499,11
26499,11a
26532,37
26569,20
26578,60
26587,1
26611,100
26648,10
26666,121
26675,02
26675,36
26684,140
26684,142
26684,145
26693,101
26709,135
26718,98
26772,16
26781,36
26815,100
26824,43
26949,92
27094,10
27094,20
27128,77
27146,100
27146,284
27146,400
27164,60
27191,90
27207,26
27313,100
27331,92
27340,74
27340,78
27377,30
27410,92
27456,94
27474,80
27571,150
27580,84
27669,92
27696,87
27854,100
27854,120a
27854,264l
27872,100
27906,121
27915,78
27924,111
27942,90
28024,65
28024,66
28149,16
28158,150
28316,35
28334,8
28352,89
28398,80
28431,100
28440,110
28486,150
28538,62
28565,135
28583,65
28653,120a
28662,40
28705,29
28705,30
28714,35
28741,61
28741,62
28802,100
28857,41
28936,11
28963,36
29018,40
29018,42
29018,44
29027,154
29115,151
29179,130
29203,20
29203,25
29221,16
29319,75
29434,26
29434,29
29498,111
29522,60
29531,128
29647,150
29726,103
29726,108
29735,120a
29762,30
29780,60
29805,1
29869,25
29896,16
29896,20
29939,306
30094,50
30100,81
30119,60
30128,121
30182,20
30313,25
30322,121
30340,89
30368,25
30401,81
30474,60
30526,29
30553,12
30553,13
30623,145
30641,114
30720,150
30739,80
30739,98
30766,12
30784,80
30881,16
30933,30
30960,41
30960,60
30988,32
30988,40
31024,140
31033,101
31051,16
31097,110
31158,110
31194,15
31219,35
31228,121
31264,1
31325,120
31334,125
31352,60
31501,42
31565,87
31583,21
31592,23
31653,100
31662,108
31732,70
31769,114
31796,120a
31866,145
31893,140
31945,10
31945,13L
31945,14
32009,60
32054,23
32054,25
32115,41
32160,40
32188,16
32203,5
32212,20
32276,20
32285,140
32294,105
32300,78
32337,41
32346,1
32346,4
32364,40
32407,78
32434,150
32434,155
32489,130
32504,130
32522,24
32559,80
32595,16
32610,71
32629,20
32735,41
32799,60
32823,149
32850,50
32896,81
33002,47
33118,71
33136,25
33154,65
33260,87
33349,50
33367,135
33367,140
33394,35
33419,94
33428,87
33437,128
33491,1
33543,1
33552,1
33570,154
33598,142
33729,70
33738,70
33765,50
33774,111
33817,80
33826,4
33835,4
33844,29
33853,30
33862,30
33905,60
33914,11
33941,11
33996,8
34005,103
34087,15
34102,100
34111,80
34148,2
34209,42
34218,26
34218,353
34236,30
34245,135
34254,20
34263,44
34290,92
34333,71
34388,109
34397,100
34421,29
